Invoice ID,Branch,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Date,Time,Payment,cogs,gross income,Rating
633-44-8566,A,Member,Male,Food and beverages,49.38,7,17.283,3/27/2019,20:35,Credit card,345.66,17.283,7.3
504-35-8843,A,Normal,Male,Sports and travel,42.47,1,2.1235,01/02/2019,16:57,Cash,42.47,2.1235,5.7
318-68-5053,B,Normal,Female,Health and beauty,76.99,6,23.097,2/27/2019,17:55,Cash,461.94,23.097,6.1
565-80-5980,C,Member,Female,Home and lifestyle,47.38,4,9.476,1/23/2019,10:25,Cash,189.52,9.476,7.1
225-32-0908,C,Normal,Female,Sports and travel,44.86,10,22.43,1/26/2019,19:54,Ewallet,448.6,22.43,8.2
873-51-0671,A,Member,Female,Sports and travel,21.98,7,7.693,01/10/2019,16:42,Ewallet,153.86,7.693,5.1
152-08-9985,B,Member,Male,Health and beauty,64.36,9,28.962,03/12/2019,12:09,Credit card,579.24,28.962,8.6
512-91-0811,C,Normal,Male,Health and beauty,89.75,1,4.4875,02/06/2019,20:05,Credit card,89.75,4.4875,6.6
594-34-4444,A,Normal,Male,Electronic accessories,97.16,1,4.858,03/08/2019,20:38,Ewallet,97.16,4.858,7.2
766-85-7061,B,Normal,Male,Health and beauty,87.87,10,43.935,3/29/2019,10:25,Ewallet,878.7,43.935,5.1
871-39-9221,C,Normal,Female,Electronic accessories,12.45,6,3.735,02/09/2019,13:11,Cash,74.7,3.735,4.1
865-92-6136,A,Normal,Male,Food and beverages,52.75,3,7.9125,3/23/2019,10:16,Ewallet,158.25,7.9125,9.3
733-01-9107,B,Normal,Male,Home and lifestyle,82.7,6,24.81,03/05/2019,18:14,Cash,496.2,24.81,7.4
163-56-7055,C,Member,Male,Fashion accessories,48.71,1,2.4355,3/26/2019,19:20,Cash,48.71,2.4355,4.1
189-98-2939,C,Normal,Male,Fashion accessories,78.55,9,35.3475,03/01/2019,13:22,Cash,706.95,35.3475,7.2
551-21-3069,C,Normal,Female,Electronic accessories,23.07,9,10.3815,02/01/2019,11:27,Cash,207.63,10.3815,4.9
212-62-1842,A,Normal,Male,Food and beverages,58.26,6,17.478,3/28/2019,16:44,Cash,349.56,17.478,9.9
716-39-1409,B,Normal,Male,Health and beauty,30.35,7,10.6225,3/19/2019,18:19,Cash,212.45,10.6225,8.0
704-48-3927,A,Member,Male,Electronic accessories,88.67,10,44.335,01/12/2019,14:50,Ewallet,886.7,44.335,7.3
628-34-3388,C,Normal,Male,Fashion accessories,27.38,6,8.214,01/05/2019,20:54,Credit card,164.28,8.214,7.9
630-74-5166,A,Normal,Male,Sports and travel,62.13,6,18.639,3/22/2019,20:19,Cash,372.78,18.639,7.4
588-01-7461,C,Normal,Female,Food and beverages,33.98,9,15.291,3/24/2019,10:43,Cash,305.82,15.291,4.2
861-77-0145,C,Member,Male,Electronic accessories,81.97,10,40.985,03/03/2019,14:30,Cash,819.7,40.985,9.2
479-26-8945,B,Member,Female,Sports and travel,16.49,2,1.649,02/05/2019,11:32,Ewallet,32.98,1.649,4.6
210-67-5886,C,Member,Female,Health and beauty,98.21,3,14.7315,02/05/2019,10:41,Credit card,294.63,14.7315,7.8
227-78-1148,B,Normal,Female,Fashion accessories,72.84,7,25.494,2/15/2019,12:44,Cash,509.88,25.494,8.4
645-44-1170,A,Member,Male,Home and lifestyle,58.07,9,26.1315,1/19/2019,20:07,Ewallet,522.63,26.1315,4.3
237-01-6122,C,Member,Female,Home and lifestyle,80.79,9,36.3555,02/01/2019,20:31,Credit card,727.11,36.3555,9.5
225-98-1496,C,Normal,Female,Fashion accessories,27.02,3,4.053,03/02/2019,13:01,Credit card,81.06,4.053,7.1
291-32-1427,B,Member,Male,Fashion accessories,21.94,5,5.485,03/05/2019,12:29,Ewallet,109.7,5.485,5.3
659-65-8956,B,Member,Male,Fashion accessories,51.36,1,2.568,1/16/2019,15:26,Ewallet,51.36,2.568,5.2
642-32-2990,A,Normal,Female,Food and beverages,10.96,10,5.48,02/02/2019,20:48,Ewallet,109.6,5.48,6.0
378-24-2715,B,Normal,Male,Home and lifestyle,53.44,2,5.344,1/20/2019,20:38,Ewallet,106.88,5.344,4.1
638-60-7125,A,Normal,Female,Electronic accessories,99.56,8,39.824,2/14/2019,17:03,Credit card,796.48,39.824,5.2
659-36-1684,C,Member,Male,Sports and travel,57.12,7,19.992,01/12/2019,12:02,Credit card,399.84,19.992,6.5
219-22-9386,B,Member,Male,Sports and travel,99.96,9,44.982,03/09/2019,17:26,Credit card,899.64,44.982,4.2
336-78-2147,C,Member,Male,Home and lifestyle,63.91,8,25.564,3/13/2019,19:52,Credit card,511.28,25.564,4.6
268-27-6179,B,Member,Female,Fashion accessories,56.47,8,22.588,03/09/2019,14:57,Ewallet,451.76,22.588,7.3
668-90-8900,A,Normal,Female,Home and lifestyle,93.69,7,32.7915,03/10/2019,18:44,Credit card,655.83,32.7915,4.5
870-54-3162,A,Normal,Female,Sports and travel,32.25,5,8.0625,1/27/2019,13:26,Cash,161.25,8.0625,9.0
189-08-9157,C,Normal,Female,Fashion accessories,31.73,9,14.2785,01/08/2019,16:17,Credit card,285.57,14.2785,5.9
663-86-9076,C,Member,Female,Food and beverages,68.54,8,27.416,01/08/2019,15:57,Ewallet,548.32,27.416,8.5
549-84-7482,B,Normal,Female,Sports and travel,90.28,9,40.626,02/08/2019,11:15,Ewallet,812.52,40.626,7.2
191-10-6171,B,Normal,Female,Fashion accessories,39.62,7,13.867,1/25/2019,13:18,Cash,277.34,13.867,7.5
802-70-5316,A,Member,Female,Sports and travel,92.13,6,27.639,03/06/2019,20:34,Cash,552.78,27.639,8.3
695-51-0018,B,Normal,Female,Sports and travel,34.84,4,6.968,02/10/2019,18:36,Cash,139.36,6.968,7.4
590-83-4591,B,Member,Male,Electronic accessories,87.45,6,26.235,2/17/2019,14:40,Credit card,524.7,26.235,8.8
483-71-1164,C,Normal,Female,Health and beauty,81.3,6,24.39,03/08/2019,16:43,Ewallet,487.8,24.39,5.3
597-78-7908,C,Normal,Male,Fashion accessories,90.22,3,13.533,2/18/2019,19:39,Cash,270.66,13.533,6.2
700-81-1757,A,Normal,Female,Electronic accessories,26.31,5,6.5775,1/18/2019,20:59,Credit card,131.55,6.5775,8.8
354-39-5160,A,Member,Female,Home and lifestyle,34.42,6,10.326,2/18/2019,15:39,Cash,206.52,10.326,9.8
241-72-9525,B,Normal,Male,Sports and travel,51.91,10,25.955,2/16/2019,12:21,Cash,519.1,25.955,8.2
575-30-8091,A,Normal,Male,Sports and travel,72.5,8,29.0,3/16/2019,19:25,Ewallet,580.0,29.0,9.2
731-81-9469,C,Member,Female,Sports and travel,89.8,10,44.9,1/23/2019,13:00,Credit card,898.0,44.9,5.4
280-17-4359,C,Member,Male,Health and beauty,90.5,10,45.25,1/25/2019,13:48,Cash,905.0,45.25,8.1
338-65-2210,C,Member,Female,Health and beauty,68.6,10,34.3,02/05/2019,19:57,Cash,686.0,34.3,9.1
488-25-4221,C,Member,Female,Food and beverages,30.41,1,1.5205,2/22/2019,10:36,Credit card,30.41,1.5205,8.4
239-10-7476,A,Normal,Female,Home and lifestyle,77.95,6,23.385,1/21/2019,16:37,Ewallet,467.7,23.385,8.0
458-41-1477,C,Normal,Female,Health and beauty,46.26,6,13.878,03/08/2019,17:11,Credit card,277.56,13.878,9.5
685-64-1609,A,Member,Female,Fashion accessories,30.14,10,15.07,02/10/2019,12:28,Ewallet,301.4,15.07,9.2
568-90-5112,C,Normal,Male,Health and beauty,66.14,4,13.228,3/19/2019,12:46,Credit card,264.56,13.228,5.6
262-47-2794,B,Member,Male,Home and lifestyle,71.86,8,28.744,03/06/2019,15:07,Credit card,574.88,28.744,6.2
238-49-0436,A,Normal,Male,Health and beauty,32.46,8,12.984,3/27/2019,13:48,Credit card,259.68,12.984,4.9
608-96-3517,B,Member,Female,Fashion accessories,91.54,4,18.308,3/23/2019,19:20,Credit card,366.16,18.308,4.8
584-86-7256,C,Member,Male,Sports and travel,34.56,7,12.096,03/11/2019,16:07,Credit card,241.92,12.096,7.3
746-94-0204,A,Normal,Male,Fashion accessories,83.24,9,37.458,1/29/2019,11:56,Credit card,749.16,37.458,7.4
214-17-6927,C,Normal,Female,Food and beverages,16.48,6,4.944,02/07/2019,18:23,Ewallet,98.88,4.944,9.9
400-89-4171,C,Normal,Female,Sports and travel,80.97,8,32.388,1/28/2019,13:05,Cash,647.76,32.388,9.3
782-95-9291,A,Member,Male,Food and beverages,92.29,5,23.0725,2/20/2019,15:55,Credit card,461.45,23.0725,9.0
279-74-2924,B,Member,Male,Electronic accessories,72.17,1,3.6085,01/04/2019,19:40,Cash,72.17,3.6085,6.1
307-85-2293,B,Normal,Male,Home and lifestyle,50.28,5,12.57,03/07/2019,13:58,Ewallet,251.4,12.57,9.7
743-04-1105,B,Member,Male,Health and beauty,97.22,9,43.749,3/30/2019,14:43,Ewallet,874.98,43.749,6.0
423-57-2993,B,Normal,Male,Sports and travel,93.39,6,28.017,3/27/2019,19:18,Ewallet,560.34,28.017,10.0
894-41-5205,C,Normal,Female,Food and beverages,43.18,8,17.272,1/19/2019,19:39,Credit card,345.44,17.272,8.3
275-28-0149,A,Normal,Male,Sports and travel,63.69,1,3.1845,2/25/2019,16:21,Cash,63.69,3.1845,6.0
101-17-6199,A,Normal,Male,Food and beverages,45.79,7,16.0265,3/13/2019,19:44,Credit card,320.53,16.0265,7.0
423-80-0988,C,Normal,Male,Sports and travel,76.4,2,7.64,1/30/2019,19:42,Ewallet,152.8,7.64,6.5
548-46-9322,B,Normal,Male,Food and beverages,39.9,10,19.95,2/20/2019,15:24,Credit card,399.0,19.95,5.9
505-02-0892,B,Member,Male,Health and beauty,42.57,8,17.028,2/25/2019,14:12,Ewallet,340.56,17.028,5.6
234-65-2137,C,Normal,Male,Home and lifestyle,95.58,10,47.79,1/16/2019,13:32,Cash,955.8,47.79,4.8
687-47-8271,A,Normal,Male,Fashion accessories,98.98,10,49.49,02/08/2019,16:20,Credit card,989.8,49.49,8.7
796-32-9050,A,Normal,Male,Food and beverages,51.28,6,15.384,1/19/2019,16:31,Cash,307.68,15.384,6.5
105-31-1824,A,Member,Male,Sports and travel,69.52,7,24.332,02/01/2019,15:10,Credit card,486.64,24.332,8.5
249-42-3782,A,Normal,Male,Health and beauty,70.01,5,17.5025,01/03/2019,11:36,ewallet,350.05,17.5025,5.5
316-55-4634,B,Member,Male,Food and beverages,80.05,5,20.0125,1/26/2019,12:45,Credit card,400.25,20.0125,9.4
733-33-4967,C,Normal,Male,Electronic accessories,20.85,8,8.34,03/03/2019,19:17,Cash,166.8,8.34,6.3
608-27-6295,B,Member,Male,Electronic accessories,52.89,6,15.867,1/19/2019,17:34,Credit card,317.34,15.867,9.8
414-12-7047,B,Normal,Male,Food and beverages,19.79,8,7.916,1/18/2019,12:04,Ewallet,158.32,7.916,8.7
827-26-2100,A,Member,Male,Home and lifestyle,33.84,9,15.228,3/21/2019,16:21,Ewallet,304.56,15.228,8.8
175-54-2529,A,Member,Male,Food and beverages,22.17,8,8.868,03/03/2009,17:01,Credit card,177.36,8.868,9.6
139-52-2867,C,Normal,Female,Fashion accessories,22.51,7,7.8785,2/13/2019,10:50,Credit card,157.57,7.8785,4.8
407-63-8975,A,Normal,Male,Food and beverages,73.88,6,22.164,3/23/2019,19:16,Ewallet,443.28,22.164,4.4
342-65-4817,C,Member,Male,Health and beauty,86.8,3,13.02,1/28/2019,16:47,Ewallet,260.4,13.02,9.9
130-98-8941,C,Normal,Male,Fashion accessories,64.26,7,22.491,02/09/2019,10:00,Cash,449.82,22.491,5.7
434-83-9547,C,Member,Male,Food and beverages,38.47,8,15.388,1/23/2019,11:51,Cash,307.76,15.388,7.7
851-28-6367,A,Member,Male,Sports and travel,15.5,10,7.75,3/23/2019,10:55,Ewallet,155.0,7.75,8.0
824-88-3614,C,Normal,Male,Health and beauty,34.31,8,13.724,1/25/2019,15:00,Ewallet,274.48,13.724,5.7
586-25-0848,A,Normal,Female,Sports and travel,12.34,7,4.319,03/04/2019,11:19,Credit card,86.38,4.319,6.7
895-66-0685,B,Member,Male,Food and beverages,18.08,3,2.712,03/05/2019,19:46,Ewallet,54.24,2.712,8.0
305-14-0245,B,Member,Female,Home and lifestyle,94.49,8,37.796,03/03/2019,19:00,Ewallet,755.92,37.796,7.5
732-04-5373,B,Member,Male,Home and lifestyle,46.47,4,9.294,02/08/2019,10:53,Cash,185.88,9.294,7.0
400-60-7251,A,Normal,Male,Home and lifestyle,74.07,1,3.7035,02/10/2019,12:50,Ewallet,74.07,3.7035,9.9
593-65-1552,C,Normal,Female,Home and lifestyle,69.81,4,13.962,1/28/2019,20:50,Credit card,279.24,13.962,5.9
284-34-9626,B,Normal,Female,Home and lifestyle,77.04,3,11.556,02/11/2019,10:39,Credit card,231.12,11.556,7.2
437-58-8131,B,Normal,Female,Fashion accessories,73.52,2,7.352,1/15/2019,13:41,Ewallet,147.04,7.352,4.6
286-43-6208,C,Normal,Female,Food and beverages,87.8,9,39.51,3/16/2019,19:08,Cash,790.2,39.51,9.2
641-43-2399,B,Normal,Male,Home and lifestyle,25.55,4,5.11,1/26/2019,20:23,Ewallet,102.2,5.11,5.7
831-07-6050,A,Normal,Male,Electronic accessories,32.71,5,8.1775,3/19/2019,11:30,Credit card,163.55,8.1775,9.9
556-86-3144,C,Member,Female,Fashion accessories,74.29,1,3.7145,1/13/2019,19:30,Cash,74.29,3.7145,5.0
848-24-9445,C,Member,Male,Health and beauty,43.7,2,4.37,3/26/2019,18:03,Cash,87.4,4.37,4.9
856-22-8149,A,Normal,Female,Home and lifestyle,25.29,1,1.2645,3/23/2019,10:13,Ewallet,25.29,1.2645,6.1
699-01-4164,C,Normal,Male,Health and beauty,41.5,4,8.3,03/12/2019,19:58,Credit card,166.0,8.3,8.2
420-11-4919,C,Member,Female,Food and beverages,71.39,5,17.8475,2/17/2019,19:57,Credit card,356.95,17.8475,5.5
606-80-4905,C,Member,Female,Sports and travel,19.15,6,5.745,1/29/2019,10:01,Credit card,114.9,5.745,6.8
542-41-0513,B,Member,Female,Electronic accessories,57.49,4,11.498,3/15/2019,11:57,Cash,229.96,11.498,6.6
426-39-2418,C,Normal,Male,Electronic accessories,61.41,7,21.4935,1/14/2019,10:02,Cash,429.87,21.4935,9.8
875-46-5808,B,Member,Male,Health and beauty,25.9,10,12.95,02/06/2019,14:51,Ewallet,259.0,12.95,8.7
394-43-4238,B,Member,Male,Home and lifestyle,17.77,5,4.4425,2/15/2019,12:42,Credit card,88.85,4.4425,5.4
749-24-1565,A,Normal,Female,Health and beauty,23.03,9,10.3635,01/03/2019,12:02,Ewallet,207.27,10.3635,7.9
672-51-8681,C,Member,Female,Electronic accessories,66.65,9,29.9925,01/04/2019,18:19,Credit card,599.85,29.9925,9.7
263-87-5680,C,Member,Female,Home and lifestyle,28.53,10,14.265,3/18/2019,17:38,Ewallet,285.3,14.265,7.8
573-58-9734,B,Normal,Female,Fashion accessories,30.37,3,4.5555,3/28/2019,13:41,Ewallet,91.11,4.5555,5.1
817-69-8206,B,Normal,Female,Electronic accessories,99.73,9,44.8785,03/02/2019,19:42,Credit card,897.57,44.8785,6.5
888-02-0338,A,Normal,Male,Electronic accessories,26.23,9,11.8035,1/25/2019,20:24,Ewallet,236.07,11.8035,5.9
677-11-0152,C,Normal,Female,Food and beverages,93.26,9,41.967,1/16/2019,18:08,Cash,839.34,41.967,8.8
142-63-6033,B,Normal,Male,Home and lifestyle,92.36,5,23.09,3/20/2019,19:17,Ewallet,461.8,23.09,4.9
656-16-1063,B,Normal,Male,Sports and travel,46.42,3,6.963,01/04/2019,13:24,Credit card,139.26,6.963,4.4
891-58-8335,B,Member,Female,Sports and travel,29.61,7,10.3635,03/11/2019,15:53,Cash,207.27,10.3635,6.5
802-43-8934,A,Normal,Male,Home and lifestyle,18.28,1,0.914,3/22/2019,15:05,Credit card,18.28,0.914,8.3
560-30-5617,B,Normal,Female,Sports and travel,24.77,5,6.1925,3/24/2019,18:27,Cash,123.85,6.1925,8.5
319-74-2561,A,Member,Female,Electronic accessories,94.64,3,14.196,2/21/2019,16:55,Cash,283.92,14.196,5.5
549-03-9315,B,Normal,Male,Fashion accessories,94.87,8,37.948,02/12/2019,12:58,Ewallet,758.96,37.948,8.7
790-29-1172,B,Normal,Female,Food and beverages,57.34,3,8.601,03/10/2019,18:59,Credit card,172.02,8.601,7.9
239-36-3640,B,Normal,Male,Electronic accessories,45.35,6,13.605,1/31/2019,13:44,Ewallet,272.1,13.605,6.1
468-01-2051,B,Normal,Male,Food and beverages,62.08,7,21.728,03/06/2019,13:46,ewallet,434.56,21.728,5.4
389-25-3394,C,Normal,Male,Electronic accessories,11.81,5,2.9525,2/17/2019,18:06,Cash,59.05,2.9525,9.4
